CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,674,France,Female,56,4,92147.64232767865,1,1,1,75738.47543112493,0
2,643,France,Female,37,7,0.0,1,1,1,57083.67387878006,0
3,682,France,Male,40,6,154006.5766429912,1,1,0,35621.51648785146,0
4,726,France,Female,29,10,0.0,2,1,1,16551.515727761223,0
5,638,France,Male,32,1,205719.93450484463,1,1,1,197662.14618559126,0
6,638,Germany,Male,34,7,113388.51244690416,2,1,1,135469.54477155,1
7,728,Germany,Male,29,1,170455.00613490635,2,1,0,157669.00826546887,0
8,688,Spain,Female,37,9,83981.91748115813,2,0,1,22350.436866988526,0
9,626,France,Female,35,0,60268.57000608162,2,1,1,12819.108565907645,0
10,677,France,Female,58,10,103131.76742771771,1,1,0,124054.85059069443,0
11,626,France,Female,28,10,0.0,2,0,1,147527.9639543685,0
12,626,Spain,Female,41,10,167667.21741072444,2,1,0,85024.59058281935,0
13,662,Germany,Female,42,2,0.0,2,1,1,83673.47064994625,0
14,554,Germany,Female,29,2,247133.37246978615,1,1,1,83051.10905223594,0
15,563,France,Female,46,5,0.0,1,1,0,39023.61111259398,1
16,621,Germany,Male,36,2,233564.71062326027,2,1,0,153243.56712813975,1
17,599,France,Female,18,6,38303.96677484189,2,1,0,50886.61914467384,1
18,665,Germany,Male,46,7,24729.503155234925,2,1,0,71637.99423549531,0
19,604,Spain,Male,28,2,84638.72848286889,2,1,0,137539.35013746086,0
20,579,Spain,Male,29,8,42781.345210341744,2,1,1,10019.895051647276,0
21,723,Germany,Male,46,0,136208.44677478424,1,1,1,155588.8653323961,0
22,638,France,Female,36,2,134555.50084558688,2,1,0,180828.00217068402,0
23,653,Spain,Female,49,2,148011.31994654803,2,0,1,19807.301300020907,0
24,578,Germany,Male,52,6,188854.69139945746,2,1,0,122408.52322745409,1
25,622,France,Male,33,10,243119.1280509568,2,1,0,87607.20426472467,0
26,655,France,Male,47,10,0.0,1,1,1,24908.044364759728,0
27,592,France,Female,32,4,38408.13749813958,1,1,0,139623.88759085588,0
28,668,France,Male,62,3,91243.28530495774,2,1,0,126340.53830679391,1
29,619,France,Male,33,1,71397.52601153005,1,0,0,132105.46217111943,0
30,635,Germany,Female,50,6,52436.165867150274,2,1,1,164564.1193570384,0
31,619,France,Male,48,2,0.0,2,1,1,64514.60536586737,0
32,742,France,Female,43,6,0.0,1,1,0,138642.93357253255,0
33,649,Germany,Female,33,9,0.0,2,1,0,151230.36197082268,0
34,597,Spain,Male,38,6,180855.34007360452,1,0,1,42074.8432739884,1
35,691,Germany,Male,18,10,185899.43180068125,2,1,0,191842.7062618639,0
36,588,France,Male,42,1,15035.198760143994,1,1,0,74596.39849074524,0
37,660,Spain,Female,43,6,104981.84889335597,2,1,0,145604.5630315188,1
38,552,Spain,Female,41,5,223633.75388838907,2,1,1,153263.82399431767,0
39,583,France,Female,18,9,134876.46597852118,1,1,1,105765.87466821137,0
40,659,France,Male,27,3,93430.67234535863,2,1,1,34456.2881648615,0
41,686,Germany,Male,32,10,70882.27638283123,2,1,1,62375.95715933957,0
42,658,Spain,Male,42,4,68405.08478038776,2,0,1,54506.920942457975,0
43,644,Spain,Male,42,7,33944.32812419352,3,0,0,108542.04268434175,0
44,634,Spain,Male,38,4,0.0,1,0,1,59641.08548943133,0
45,576,Germany,Male,46,2,0.0,2,1,0,113886.3906219816,1
46,614,Germany,Female,29,1,80150.74380683579,1,1,1,64759.283333536274,1
47,626,France,Female,46,5,20962.17725592477,3,0,0,10186.035398611011,0
48,702,France,Female,44,5,0.0,1,1,0,79018.77941869618,0
49,667,France,Male,43,6,19428.08373442971,1,1,1,125301.662105939,0
50,561,Germany,Female,38,7,83992.26492837002,1,1,0,157002.38754208945,0
51,666,Germany,Female,58,3,147591.36882079937,1,1,0,15389.247586195233,1
52,630,Germany,Female,44,7,108294.72647042651,2,0,0,59079.47012855261,0
53,616,France,Male,30,0,77745.05613978411,1,0,1,197237.80280905686,0
54,680,Germany,Male,42,5,0.0,2,1,0,59744.92382080449,0
55,701,France,Female,47,5,0.0,1,1,0,157667.5547423026,0
56,696,France,Male,34,2,0.0,2,1,1,106780.98749743342,0
57,608,Spain,Male,50,8,93529.85690771042,2,0,0,33213.05697051719,0
58,634,Germany,Male,43,4,19394.923266163965,1,1,1,132246.02450906014,0
59,666,Spain,Male,18,0,18775.78669818602,1,1,0,193604.76192833032,1
60,698,France,Female,42,6,192211.21965057234,1,0,1,178497.5162223097,0
61,626,France,Male,35,9,142568.75718619046,1,0,1,141155.62968935425,0
62,640,France,Female,45,2,198062.2377801593,1,1,0,107308.17071930418,0
63,594,France,Female,49,9,0.0,1,0,1,70673.27105441414,0
64,590,Spain,Male,41,9,227801.52382369517,1,0,1,77823.65904762349,0
65,690,Germany,Male,56,10,222597.82985118966,2,0,1,75779.28076854668,0
66,717,Spain,Male,38,3,199198.57494908257,1,1,0,185195.57634605787,0
67,646,France,Female,46,5,124045.39841011449,2,1,0,50149.36721540305,0
68,700,Spain,Female,48,7,83950.33782492459,3,0,1,81825.66991995329,0
69,668,France,Female,39,3,131686.42898671358,1,1,0,92073.01476851715,1
70,617,Spain,Female,47,8,0.0,1,1,1,87691.18912130148,0
71,668,France,Female,34,7,156466.13173344103,1,1,1,10797.667089698722,0
72,726,France,Female,35,9,54663.41626789698,1,1,1,61484.97961396225,0
73,648,Germany,Female,26,9,0.0,2,1,1,104728.02498556754,0
74,728,Spain,Male,42,5,0.0,1,1,1,154493.72987729995,0
75,519,France,Female,43,6,158849.1596658062,1,1,0,118200.05722231157,0
76,691,France,Female,51,7,67505.15750069096,1,1,1,83123.78087107741,0
77,654,Spain,Female,47,1,114254.77453056519,2,0,1,136376.76661075337,0
78,635,France,Female,37,4,60448.29146860487,2,1,0,136519.70949623288,0
79,654,France,Male,28,6,220073.2376216324,3,1,1,57105.68972227311,0
80,550,France,Female,44,7,127110.65080996903,2,1,1,29717.08796280375,0
81,639,France,Female,51,4,63995.53973771491,1,1,1,162604.86658582377,0
82,667,Spain,Male,47,2,19890.086977971107,1,0,0,110658.65207340156,0
83,723,Spain,Male,50,5,172177.27951685005,1,0,1,43539.70476996606,1
84,624,Germany,Female,37,4,61514.73135754137,2,1,1,59793.50249797299,0
85,609,Spain,Female,35,7,0.0,2,1,0,155620.65359096706,0
86,624,France,Female,32,8,138088.0896196412,1,1,0,134121.75307534056,1
87,695,France,Female,39,8,79354.4790995277,1,1,0,189581.6471668606,0
88,666,France,Female,39,5,167842.58411023128,1,1,1,98340.00882113722,0
89,623,France,Female,42,3,0.0,2,1,1,19915.45967575268,0
90,675,France,Male,38,3,0.0,2,0,0,143080.34481030013,0
91,654,Spain,Male,38,8,0.0,1,1,1,58433.04344406401,0
92,698,Spain,Female,32,3,247179.45577501823,1,1,0,71532.36515694016,0
93,614,France,Female,49,7,155234.74850687047,1,1,1,47363.16821568592,1
94,633,Germany,Female,40,8,212658.6757462392,2,1,1,68697.72591459914,0
95,630,Germany,Male,38,4,27475.71269882133,3,1,1,167601.29036656205,1
96,576,Spain,Female,32,5,0.0,1,1,1,119575.52795206508,0
97,664,Spain,Male,26,2,0.0,1,0,0,30739.21122175077,0
98,663,Germany,Male,53,4,0.0,1,0,0,121454.69794439731,1
99,650,Spain,Female,45,4,56618.34914410186,2,1,1,130377.03755522147,0
100,638,Germany,Male,23,1,95488.70332233037,2,1,1,178116.50134564517,1
101,579,Germany,Female,47,9,73226.41779700981,2,0,0,173332.6342835484,0
102,628,France,Male,49,5,157208.84074284232,3,1,0,21946.272085559664,1
103,632,France,Female,41,8,0.0,1,1,0,174672.63804551534,1
104,609,Germany,Female,55,10,0.0,2,1,0,19668.09946178051,0
105,641,France,Male,42,6,59770.715304722005,1,0,0,39283.17700040209,0
106,670,France,Male,25,7,108166.5090195156,1,1,0,31194.500394425777,0
107,744,Germany,Male,43,1,0.0,2,1,1,44522.47571823075,0
108,658,France,Female,42,10,0.0,2,1,0,162619.7789047811,0
109,662,Germany,Male,33,8,47080.43475887281,2,1,1,140362.67548415353,0
110,646,Germany,Male,45,2,229193.13159010632,2,0,0,140522.8630923814,0
111,554,Spain,Female,23,9,0.0,2,1,0,185204.24754900424,0
112,648,France,Female,49,4,100687.8379748133,1,1,0,84451.69616359407,1
113,653,France,Male,31,6,0.0,2,1,1,10624.614191320568,0
114,773,Germany,Male,30,3,162581.5202482046,2,1,1,131556.0058931053,0
115,640,Spain,Male,38,6,0.0,2,0,1,174934.1334208733,0
116,665,Spain,Female,44,7,0.0,2,0,1,195489.43430659853,0
117,648,France,Female,41,9,23369.65496642179,2,1,1,79139.61876003437,0
118,591,France,Male,32,9,0.0,2,0,1,166208.915804188,0
119,707,Spain,Female,34,3,245278.99189033144,1,0,0,171353.2657243455,0
120,687,France,Male,28,4,113450.4196508404,2,1,0,37443.18980657609,0
121,689,Germany,Male,37,10,157278.59377823852,2,0,0,129984.72549857642,0
